pubmed_id,DOI,title,keywords,journal,abstract
33667661,"['S1040-8428(21)00081-0 [pii]', '10.1016/j.critrevonc.2021.103293 [doi]']",Cytoreductive Nephrectomy in the Era of Targeted- and Immuno- Therapy for Metastatic Renal Cell Carcinoma: an Elusive Issue? A Systematic Review of the Literature.,"cytoreductive nephrectomy, immunotherapy, metastatic renal cell carcinoma, patient selection, targeted therapy",Critical reviews in oncology/hematology,"BACKGROUND: The role of cytoreductive nephrectomy (CN) in metastatic renal cell carcinoma (mRCC) in the era of targeted- (TT) and immuno- (IT) therapy remains controversial. DESIGN: The primary objective of the present systematic, performed according to PRISMA guidelines review, was to assess the prevalence of CN in mRCC patients enrolled in TT/IT randomized phase II/III clinical trials (RCTs) or expanded access programs (EAPs). Medline database was searched from 2003 to 2019 for studies with available nephrectomy data. RESULTS: We identified 609 studies, subsequently restricted to 57 randomized phase II/III clinical trials and 6 EAPs. Overall, 33196 patients with mRCC were included, among whom 28700 (86.4%) underwent nephrectomy.The trends over time of nephrectomy occurrence remained substantially stable from 2003 to 2019. CONCLUSIONS: Our analysis highlighted that data from RCTs and EAPs driving the clinical practice originate from nephrectomized patient populations. This evidence supports the clinical relevance of CN also in mRCC patients candidate to receive TT/IT."
33667642,"['S1058-2746(21)00137-3 [pii]', '10.1016/j.jse.2021.01.033 [doi]']",Reverse shoulder arthroplasty in Rheumatoid Arthritis: Survival and Outcomes.,"Complications, Outcome, Reverse shoulder arthroplasty, Rheumatoid arthritis",Journal of shoulder and elbow surgery,"BACKGROUND: Despite its potential biomechanical advantages, reverse shoulder arthroplasty (RSA) is still considered to be particularly high risk in rheumatoid patients who are osteoporotic and immunodeficient. Our purpose was to report prosthesis survival, complications, and outcomes of RSA in patients with rheumatoid arthritis (RA) at minimum 5-year follow-up. METHODS: We conducted a retrospective multicenter study including 65 consecutive primary RSAs performed in 59 patients with RA between 1991 and 2010. We excluded rheumatoid patients with previous failed anatomic shoulder arthroplasty. Age at surgery averaged 69 years (range, 46-86 years). A structural bone grafting was performed in 18 cases (45%), using the humeral head in 15 cases (BIO-RSA technique), the iliac crest in 2 cases (Norris technique), and an allograft in 1 case. The mean follow-up was 92 months (range, 60-147 months) or until revision surgery. RESULTS: Revision-free survivorship, using Kaplan-Meyer curves, was 96% at 7 years. Two patients were revised for infections, with associated glenoid loosening in 1 case. No humeral loosening was recorded. The mean adjusted Constant score improved from 36 +/-23% preoperatively to 90 +/-26% postoperatively, and mean SSV improved from 21 +/-13% to 85 +/-12%, respectively (p<0.001). Active anterior elevation increased from 65 degrees +/-43 to 132 degrees +/-27, active external rotation increased from 10 degrees +/-26 to 22 degrees +/-27, and internal rotation improved from buttocks to waist (p<0.001). Stable fixation of the baseplate was achieved in all cases (including the 6 patients with ""end stage"" RA) and we did not observe bone graft non-union or resorption. Preoperative radiologic pattern (centered, ascending, or destructive), presence of acromial fractures or tilt (4 cases, 10%), and scapular notching (55%) on final radiographs were not found to influence outcomes or complication rate. Patients with absent/atrophied teres minor had lower functional results. Overall, 95% of the patients were satisfied with the procedure. CONCLUSION: RSA is a safe and effective procedure for the treatment of RA patients, with a low risk of complications and low rate of revision, regardless of the radiological presentation and stage of the disease. Rheumatoid patients undergoing primary RSA, with or without or glenoid bone grafting, can expect a revision-free survival rate of 96% at 7-year follow-up. RSA offers the benefits of solving two key problems encountered in rheumatoid shoulders: glenoid bone destruction and rotator cuff deficiency."
33667618,"['S0882-4010(20)30999-2 [pii]', '10.1016/j.micpath.2020.104633 [doi]']",Inhibition of experimental periodontitis by a monoclonal antibody against Porphyromonas gingivalis HA2.,"Hemagglutinin 2, Monoclonal antibody, P. gingivalis, Peptide",Microbial pathogenesis,"It is known that complexes of the multi-protein, gingipain, possess heme binding domains (hemagglutinin 2, HA2) that bind hemoglobin to provide heme and ircon to the bacterium, Porphyromonas gingivalis. The DHYAVMISK peptide sequence was proposed to act as an inhibitor of hemin binding, and thus, it might be used to control or prevent periodontal disease. In this study, we created a monoclonal antibody (mAb) that targeted the DHYAVMISK peptide, aimed to determine whether it could inhibit the growth of P. gingivalis in vitro, and block its induction of experimental periodontitis and subsequent bone loss. Peptide DGFPG-DHYAVMISK conjugated to KLH (DK-KLH) was synthetic, and injected subcutaneously into BALB/c mice to generate specific mAbs with the hybridoma technique. We isolated mAb 1H11, which showed specific binding to DK. When we incubated these mAbs with P. gingivalis in vitro for 18h, bacterial growth was significantly lower in cultures treated with mAb 1H11 compared to those treated with control (PBS; P<0.05). Next, we induced experimental periodontitis in mouse models with a silk ligature and a P. gingivalis infection. When we injected the mAbs into the gingival sulcus, the group treated with mAb 1H11 displayed a reduction in bone loss compared to the other treatment groups. Thus, mAb 1H11 might provide protection against a P. gingivalis infection. Accordingly, this antibody could serve as a candidate therapy for periodontitis or other infections caused by P. gingivalis."
33667543,"['S0021-9258(21)00271-4 [pii]', '10.1016/j.jbc.2021.100496 [doi]']",Arginine methylation of R81 in Smad6 confines BMP-induced Smad1 signaling.,"BMP, PRMT1, Smad1, Smad6, arginine methylation, invasion, osteogenic differentiation",The Journal of biological chemistry,"Bone Morphogenetic Proteins (BMPs) secreted by a variety of cell types are known to play essential roles in cell differentiation and matrix formation in bone, cartilage, muscle, blood vessels, and neuronal tissues. BMPs activate intracellular effectors via C-terminal phosphorylation of Smad1, 5 and 9, which relay the signaling by forming a complex with Smad4 and translocate to the nucleus for transcriptional activation. Smad6 inhibits BMP signaling through diverse mechanisms operative at the membrane, cytosolic and nuclear levels. However, the mechanistic underpinnings of Smad6 functional diversity remain unclear. Here, using biochemical approach and cell differentiation systems, we report a cytosolic mechanism of action for Smad6 that requires arginine methylation at R81 and functions through association with Smad1 and interference with the formation of Smad1/Smad4 complexes. By mutating the methylated arginine residue, R81, and by silencing expression of protein arginine methyltransferase 1 (PRMT1), we show that PRMT1 catalyzes R81 methylation of Smad6 upon BMP treatment; R81 methylation subsequently facilitates Smad6 interaction with the phosphorylated active Smad1; and R81 methylation facilitates Smad6-mediated interruption of Smad1/Smad4 complex formation and nuclear translocation. Furthermore, Smad6 wild type but not the methylation-deficient R81A mutant inhibited BMP-responsive transcription, attenuated BMP-mediated osteogenic differentiation and antagonized BMP-mediated inhibition of cell invasion. Taken together our results suggest that R81 methylation plays an essential role in Smad6-mediated inhibition of BMP responses."
33667542,"['S0022-5193(21)00080-1 [pii]', '10.1016/j.jtbi.2021.110658 [doi]']",Modelling cell guidance and curvature control in evolving biological tissues.,"Bone remodelling, Moving boundary problems, Surfactant, Tissue engineering, Tissue growth",Journal of theoretical biology,"Tissue geometry is an important influence on the evolution of many biological tissues. The local curvature of an evolving tissue induces tissue crowding or spreading, which leads to differential tissue growth rates, and to changes in cellular tension, which can influence cell behaviour. Here, we investigate how directed cell motion interacts with curvature control in evolving biological tissues. Directed cell motion is involved in the generation of angled tissue growth and anisotropic tissue material properties, such as tissue fibre orientation. We develop a new cell-based mathematical model of tissue growth that includes both curvature control and cell guidance mechanisms to investigate their interplay. The model is based on conservation principles applied to the density of tissue synthesising cells at or near the tissue's moving boundary. The resulting mathematical model is a partial differential equation for cell density on a moving boundary, which is solved numerically using a hybrid front-tracking method called the cell-based particle method. The inclusion of directed cell motion allows us to model new types of biological growth, where tangential cell motion is important for the evolution of the interface, or for the generation of anisotropic tissue properties. We illustrate such situations by applying the model to simulate both the resorption and infilling components of the bone remodelling process,provide user-friendly MATLAB code to implement the algorithms."
33667534,"['S0028-3770(21)00048-5 [pii]', '10.1016/j.neuchi.2021.02.009 [doi]']",Rheumatoid Pannus Presenting as a Large Epidural Mass in the Subaxial Cervical Spine: A Case Report.,"Cervical Spine, Pannus, Rheumatoid Arthritis, Subaxial",Neuro-Chirurgie,"Rheumatoid arthritis (RA) is a debilitating inflammatory condition characterized by joint damage that affects the cervical spine most commonly at the atlantoaxial joint resulting in neck pain and myelopathy. The pathogenesis of RA involves the formation of a hyperplastic synovial tissue, termed pannus, which invades the local bone and causes osseous erosion. Here we describe a case of rapid onset quadriparesis due to spinal cord compression at C5-C6 secondary to vertebral subluxation and mass effect from a large inflammatory pannus in the subaxial spine. Surgical decompression and resection of the subaxial pannus was performed, and the patient regained strength in all extremities. Histopathologic evaluation of the resected tissue confirmed the diagnosis of pannus over other more common epidural masses. Pannus formation commonly occurs in the peri-odontoid region, however its presentation as a large soft tissue mass in the subaxial spine is not described in the current literature. Therefore, pannus should be considered in the differential diagnosis of epidural masses in the spine of RA patients. We use this case to discuss the pathology and radiological findings relevant to rheumatoid pannus formation in the subaxial cervical spine, as well as emphasize the importance of treatment in the context to severe degenerative disease."
33667533,"['S0028-3770(21)00046-1 [pii]', '10.1016/j.neuchi.2021.02.007 [doi]']",Security and reliability of CUSTOMBONE cranioplasties: a prospective multicentric study.,?,Neuro-Chirurgie,"BACKGROUND: Repairing bone defects generated by craniectomy is a major therapeutic challenge in terms of bone consolidation as well as functional and cognitive recovery. Furthermore, these surgical procedures are often grafted with complications such as infections, breaches, displacements and rejections leading to failure and thus explantation of the prosthesis. OBJECTIVE: To evaluate cumulative explantation and infection rates following the implantation of a tailored cranioplasty CUSTOMBONE prosthesis made of porous hydroxyapatite. One hundred and ten consecutive patients requiring cranial reconstruction for a bone defect were prospectively included in a multicenter study constituted of 21 centres between December 2012 and July 2014. Follow-up lasted 2 years. RESULTS: Mean age of patients included in the study was 42 +/- 15 years old (y.o), composed mainly by men (57.27%). Explantations of the CUSTOMBONE prosthesis were performed in 13/110 (11.8%) patients, significantly due to infections: 9/13 (69.2%) (p<0.0001), with 2 (15.4%) implant fracture, 1 (7.7%) skin defect and 1 (7.7%) following the mobilization of the implant. Cumulative explantation rates were successively 4.6% (SD 2.0), 7.4% (SD 2.5), 9.4% (SD 2.8) and 11.8% (SD 2.9%) at 2, 6, 12 and 24 months. Infections were identified in 16/110 (14.5%): 8/16 (50%) superficial and 8/16 (50%) deep. None of the following elements, whether demographic characteristics, indications, size, location of the implant, redo surgery, co-morbidities or medical history, were statistically identified as risk factors for prosthesis explantation or infection. CONCLUSION: Our study provides relevant clinical evidence on the performance and safety of CUSTOMBONE prosthesis in cranial procedures. Complications that are difficulty incompressible mainly occur during the first 6 months, but can appear at a later stage (> 1 year). Thus assiduous, regular and long-term surveillances are necessary."
33667477,"['S0091-6749(21)00351-1 [pii]', '10.1016/j.jaci.2021.02.027 [doi]']",Bone morphogenetic protein-2 as a novel biomarker for refractory chronic rhinosinusitis with nasal polyps.,"Bone Morphogenetic Proteins, Nasal polyp, biomarker, osteitis, sinusitis",The Journal of allergy and clinical immunology,"BACKGROUND: Bone morphogenetic proteins (BMPs), members of the transforming growth factor-beta superfamily, regulate bone remodeling by stimulating osteoblasts and osteoclasts. Although the association between osteitis and poor surgical outcomes is well-known in patients with chronic rhinosinusitis (CRS), BMPs have not been fully investigated as potential biomarkers for the prognosis of CRS. OBJECTIVE: This study investigated the role of BMPs in osteitis in CRS with nasal polyp (NP) (CRSwNP) patients, as well as associations between BMPs and inflammatory markers in sinonasal tissues from CRSwNP patients. METHODS: We investigated the expression of 6 BMPs (BMP-2, BMP-4, BMP-6, BMP-7, BMP-9, and BMP-10) and their cellular origins in NPs of human subjects using immunohistochemistry and enzyme-linked immunosorbent assays of NP tissues. Exploratory factor analysis was performed to identify associations between BMPs and inflammatory markers. Air-liquid interface (ALI) cell culture of human nasal epithelial cells (hNECs) was performed to evaluate the induction of the epithelial-mesenchymal transition (EMT) by BMPs. RESULTS: Of the 6 BMPs studied, BMP-2 and BMP-7 were associated with refractoriness. Only BMP-2 concentrations were higher in patients with severe osteitis and advanced disease extent based on computed tomography findings. Eosinophils and some macrophages were identified as cellular sources of BMP-2 in immunofluorescence analysis. An in vitro experiment revealed that BMP-2 induced EMT in ALI-cultured hNECs, particularly in a Th2 milieu. CONCLUSION: BMP-2 could reflect the pathophysiology of mucosa and bone remodeling, and may be a novel biomarker for refractory CRSwNP."
33667305,"['475343 [pii]', '10.1182/blood.2020005563 [doi]']",JAK2-V617F and interferon-alpha induce megakaryocyte-biased stem cells characterized by decreased long-term functionality.,?,Blood,"We studied a subset of hematopoietic stem cells (HSCs) that are defined by elevated expression of CD41 (CD41hi) and show bias for differentiation towards megakaryocytes (Mk). Mouse models of myeloproliferative neoplasms (MPN) expressing JAK2-V617F (VF) or a JAK2 exon 12 mutation (E12) displayed increased frequencies and percentages of the CD41hi versusCD41lo HSCs compared to wildtype controls. An increase in CD41hi HSCs that correlated with JAK2-V617F mutant allele burden was also found in bone marrow from MPN patients. CD41hi HSCs produced higher numbers of Mk-colonies HSC in single cell cultures in vitro, but showed reduced long-term reconstitution potential compared to CD41lo HSCs in competitive transplantations in vivo. RNA expression profiling showed upregulated cell cycle, Myc, and oxidative phosphorylation gene signatures in CD41hi HSCs, while CD41lo HSCs showed higher gene expression of interferon, JAK/STAT and TNFalpha/NFkB signaling pathways. Higher cell cycle activity and elevated levels of reactive oxygen species were confirmed in CD41hi HSCs by flow cytometry. Expression of Epcr, a marker for quiescent HSCs inversely correlated with expression of CD41 in mice, but did not show such reciprocal expression pattern in MPN patients. Treatment with interferon-alpha further increased the frequency and percentage of CD41hi HSCs and reduced the numbers of JAK2-V617F positive HSCs in mice and patients with MPN. The shift towards the CD41hi subset of HSCs by interferon-alpha provides a possible mechanism of how interferon-alpha preferentially targets the JAK2 mutant clone."
33667240,"['10.1371/journal.pone.0247658 [doi]', 'PONE-D-20-35590 [pii]']",Encephalitozoon cuniculi takes advantage of efferocytosis to evade the immune response.,?,PloS one,"Microsporidia are recognized as opportunistic pathogens in individuals with immunodeficiencies, especially related to T cells. Although the activity of CD8+ T lymphocytes is essential to eliminate these pathogens, earlier studies have shown significant participation of macrophages at the beginning of the infection. Macrophages and other innate immunity cells play a critical role in activating the acquired immunity. After programmed cell death, the cell fragments or apoptotic bodies are cleared by phagocytic cells, a phenomenon known as efferocytosis. This process has been recognized as a way of evading immunity by intracellular pathogens. The present study evaluated the impact of efferocytosis of apoptotic cells either infected or not on macrophages and subsequently challenged with Encephalitozoon cuniculi microsporidia. Macrophages were obtained from the bone marrow monocytes from C57BL mice, pre-incubated with apoptotic Jurkat cells (ACs), and were further challenged with E. cuniculi spores. The same procedures were performed using the previously infected Jurkat cells (IACs) and challenged with E. cuniculi spores before macrophage pre-incubation. The average number of spores internalized by macrophages in phagocytosis was counted. Macrophage expression of CD40, CD206, CD80, CD86, and MHCII, as well as the cytokines released in the culture supernatants, was measured by flow cytometry. The ultrastructural study was performed to analyze the multiplication types of pathogens. Macrophages pre-incubated with ACs and challenged with E. cuniculi showed a higher percentage of phagocytosis and an average number of internalized spores. Moreover, the presence of stages of multiplication of the pathogen inside the macrophages, particularly after efferocytosis of infected apoptotic bodies, was observed. In addition, pre-incubation with ACs or IACs and/or challenge with the pathogen decreased the viability of macrophages, reflected as high percentages of apoptosis. The marked expression of CD206 and the release of large amounts of IL-10 and IL-6 indicated the polarization of macrophages to an M2 profile, compatible with efferocytosis and favorable for pathogen development. We concluded that the pathogen favored efferocytosis and polarized the macrophages to an M2 profile, allowing the survival and multiplication of E. cuniculi inside the macrophages and explaining the possibility of macrophages acting as Trojan horses in microsporidiosis."
